48	1908 1900s peace Klas Pontus Arnoldson Klas Pontus Arnoldson male http://nobelprize.org/peace/laureates/1908/arnoldson.jpg Sweden Writer Former Member of Parliament Sweden Founder Swedish Peace and Arbitration League 1844 1916 http://nobelprize.org/peace/laureates/1908/arnoldson-bio.html http://nobelprize.org/peace/laureates/1908/arnoldson-lecture.html
49	1908 1900s peace Fredrik Bajer Fredrik Bajer male http://nobelprize.org/peace/laureates/1908/bajer.jpg Denmark Member of Parliament Denmark Honorary President Permanent International Peace Bureau Berne Switzerland 1837 1922 http://nobelprize.org/peace/laureates/1908/bajer-bio.html http://nobelprize.org/peace/laureates/1908/bajer-lecture.html
50	1908 1900s physics Gabriel Lippmann Gabriel Lippmann male http://nobelprize.org/physics/laureates/1908/lippmann.jpg France Sorbonne University Paris France 1845 1921 http://nobelprize.org/physics/laureates/1908/lippmann-bio.html http://nobelprize.org/physics/laureates/1908/lippmann-lecture.html
51	1909 1900s chemistry Wilhelm Ostwald Wilhelm Ostwald male http://nobelprize.org/chemistry/laureates/1909/ostwald.jpg Germany Leipzig University Leipzig Germany 1853 1932 http://nobelprize.org/chemistry/laureates/1909/ostwald-bio.html http://nobelprize.org/chemistry/laureates/1909/ostwald-lecture.html
52	1909 1900s literature Selma Lagerlöf Selma Ottilia Lovisa Lagerlöf female http://nobelprize.org/literature/laureates/1909/lagerlof.jpg Sweden 1858 1940 http://nobelprize.org/literature/laureates/1909/lagerlof-bio.html
53	1909 1900s medicine Theodor Kocher Emil Theodor Kocher male http://nobelprize.org/medicine/laureates/1909/kocher.jpg Switzerland Berne University Berne Switzerland 1841 1917 http://nobelprize.org/medicine/laureates/1909/kocher-bio.html http://nobelprize.org/medicine/laureates/1909/kocher-lecture.html
54	1909 1900s peace Auguste Beernaert Auguste Marie François Beernaert male http://nobelprize.org/peace/laureates/1909/beernaert.jpg Belgium ex-Prime Minister Belgium Member of Parliament Belgium Member Cour Internationale d'arbitrage at the Hague 1829 1912 http://nobelprize.org/peace/laureates/1909/beernaert-bio.html
55	1909 1900s peace Paul Henri d'Estournelles de Constant Paul Henri Benjamin Balluet d'Estournelles de Constant, Baron de Constant de Rebecque male http://nobelprize.org/peace/laureates/1909/balluet.jpg France Member of Parliament France Founder and President French parliamentary group for voluntary arbitration Founder Committee for the Defense of National Interests and International Conciliation 1852 1924 http://nobelprize.org/peace/laureates/1909/balluet-bio.html
56	1909 1900s physics Guglielmo Marconi Guglielmo Marconi male http://nobelprize.org/physics/laureates/1909/marconi.jpg Italy Marconi Wireless Telegraph Co. Ltd. London United Kingdom 1874 1937 http://nobelprize.org/physics/laureates/1909/marconi-bio.html http://nobelprize.org/physics/laureates/1909/marconi-lecture.html
57	1909 1900s physics Ferdinand Braun Karl Ferdinand Braun male http://nobelprize.org/physics/laureates/1909/braun.jpg Germany Strasbourg University Strasbourg Alsace Germany 1850 1918 http://nobelprize.org/physics/laureates/1909/braun-bio.html http://nobelprize.org/physics/laureates/1909/braun-lecture.html
58	1910 1910s chemistry Otto Wallach Otto Wallach male http://nobelprize.org/chemistry/laureates/1910/wallach.jpg Germany Goettingen University Goettingen Germany 1847 1931 http://nobelprize.org/chemistry/laureates/1910/wallach-bio.html http://nobelprize.org/chemistry/laureates/1910/wallach-lecture.html
59	1910 1910s literature Paul Heyse Paul Johann Ludwig Heyse male http://nobelprize.org/literature/laureates/1910/heyse.jpg Germany 1830 1914 http://nobelprize.org/literature/laureates/1910/heyse-autobio.html
60	1910 1910s medicine Albrecht Kossel Albrecht Kossel male http://nobelprize.org/medicine/laureates/1910/kossel.jpg Germany University of Heidelberg Heidelberg Germany 1853 1927 http://nobelprize.org/medicine/laureates/1910/kossel-bio.html http://nobelprize.org/medicine/laureates/1910/kossel-lecture.html
61	1910 1910s peace Permanent International Peace Bureau Bureau international permanent de la Paix (Permanent International Peace Bureau) http://nobelprize.org/peace/laureates/1910/peace-bureau.jpg Switzerland Berne Switzerland http://nobelprize.org/peace/laureates/1910/peace-bureau-history.html
62	1910 1910s physics Johannes Diderik van der Waals Johannes Diderik van der Waals male http://nobelprize.org/physics/laureates/1910/waals.jpg the Netherlands Amsterdam University Amsterdam the Netherlands 1837 1923 http://nobelprize.org/physics/laureates/1910/waals-bio.html http://nobelprize.org/physics/laureates/1910/waals-lecture.html
63	1911 1910s literature Maurice Maeterlinck Count Maurice (Mooris) Polidore Marie Bernhard Maeterlinck male http://nobelprize.org/literature/laureates/1911/maeterlinck.jpg Belgium 1862 1949 http://nobelprize.org/literature/laureates/1911/maeterlinck-bio.html
64	1911 1910s medicine Allvar Gullstrand Allvar Gullstrand male http://nobelprize.org/medicine/laureates/1911/gullstrand.jpg Sweden Uppsala University Uppsala Sweden 1862 1930 http://nobelprize.org/medicine/laureates/1911/gullstrand-bio.html http://nobelprize.org/medicine/laureates/1911/gullstrand-lecture.html
65	1911 1910s peace Tobias Asser Tobias Michael Carel Asser male http://nobelprize.org/peace/laureates/1911/asser.jpg the Netherlands Prime Minister the Netherlands Member Privy Council Originator International Conferences of Private Law at the Hague 1838 1913 http://nobelprize.org/peace/laureates/1911/asser-bio.html
66	1911 1910s peace Alfred Fried Alfred Hermann Fried male http://nobelprize.org/peace/laureates/1911/fried.jpg Austria Journalist Founder Die Friedenswarte 1864 1921 http://nobelprize.org/peace/laureates/1911/fried-bio.html
67	1911 1910s physics Wilhelm Wien Wilhelm Wien male http://nobelprize.org/physics/laureates/1911/wien.jpg Germany Würzburg University Würzburg Germany 1864 1928 http://nobelprize.org/physics/laureates/1911/wien-bio.html http://nobelprize.org/physics/laureates/1911/wien-lecture.html
68	1912 1910s chemistry Victor Grignard Victor Grignard male http://nobelprize.org/chemistry/laureates/1912/grignard.jpg France Nancy University Nancy France 1871 1935 http://nobelprize.org/chemistry/laureates/1912/grignard-bio.html http://nobelprize.org/chemistry/laureates/1912/grignard-lecture.html
69	1912 1910s chemistry Paul Sabatier Paul Sabatier male http://nobelprize.org/chemistry/laureates/1912/sabatier.jpg France Toulouse University Toulouse France 1854 1941 http://nobelprize.org/chemistry/laureates/1912/sabatier-bio.html http://nobelprize.org/chemistry/laureates/1912/sabatier-lecture.html
70	1912 1910s literature Gerhart Hauptmann Gerhart Johann Robert Hauptmann male http://nobelprize.org/literature/laureates/1912/hauptmann.jpg Germany 1862 1946 http://nobelprize.org/literature/laureates/1912/hauptmann-autobio.html
71	1912 1910s medicine Alexis Carrel Alexis Carrel male http://nobelprize.org/medicine/laureates/1912/carrel.jpg France Rockefeller Institute for Medical Research New York New York United States of America 1873 1944 http://nobelprize.org/medicine/laureates/1912/carrel-bio.html http://nobelprize.org/medicine/laureates/1912/carrel-lecture.html
72	1912 1910s peace Elihu Root Elihu Root male http://nobelprize.org/peace/laureates/1912/root.jpg United States of America ex-Secretary of State United States of America Originator of various treaties of arbitration 1845 1937 http://nobelprize.org/peace/laureates/1912/root-bio.html http://nobelprize.org/peace/laureates/1912/root-lecture.html
73	1912 1910s physics Gustaf Dalén Nils Gustaf Dalén male http://nobelprize.org/physics/laureates/1912/dalen.jpg Sweden Swedish Gas-Accumulator Co. Lidingö-Stockholm Sweden 1869 1937 http://nobelprize.org/physics/laureates/1912/dalen-bio.html
74	1913 1910s chemistry Alfred Werner Alfred Werner male http://nobelprize.org/chemistry/laureates/1913/werner.jpg Switzerland University of Zurich Zurich Switzerland 1866 1919 http://nobelprize.org/chemistry/laureates/1913/werner-bio.html http://nobelprize.org/chemistry/laureates/1913/werner-lecture.html
75	1913 1910s literature Rabindranath Tagore Rabindranath Tagore male http://nobelprize.org/literature/laureates/1913/tagore.jpg India 1861 1941 http://nobelprize.org/literature/laureates/1913/tagore-bio.html
76	1913 1910s medicine Charles Richet Charles Robert Richet male http://nobelprize.org/medicine/laureates/1913/richet.jpg France Sorbonne University Paris France 1850 1935 http://nobelprize.org/medicine/laureates/1913/richet-bio.html http://nobelprize.org/medicine/laureates/1913/richet-lecture.html
77	1913 1910s peace Henri La Fontaine Henri La Fontaine male http://nobelprize.org/peace/laureates/1913/fontaine.jpg Belgium Member of Parliament Belgium President Permanent International Peace Bureau Berne Switzerland 1854 1943 http://nobelprize.org/peace/laureates/1913/fontaine-bio.html
78	1913 1910s physics Heike Kamerlingh Onnes Heike Kamerlingh Onnes male http://nobelprize.org/physics/laureates/1913/onnes.jpg the Netherlands Leiden University Leiden the Netherlands 1853 1926 http://nobelprize.org/physics/laureates/1913/onnes-bio.html http://nobelprize.org/physics/laureates/1913/onnes-lecture.html
79	1914 1910s chemistry Theodore W. Richards Theodore William Richards male http://nobelprize.org/chemistry/laureates/1914/richards.jpg United States of America Harvard University Cambridge Massachusetts United States of America 1868 1928 http://nobelprize.org/chemistry/laureates/1914/richards-bio.html http://nobelprize.org/chemistry/laureates/1914/richards-lecture.html
80	1914 1910s medicine Robert Bárány Robert Bárány male http://nobelprize.org/medicine/laureates/1914/barany.jpg Austria Vienna University Vienna Austria 1876 1936 http://nobelprize.org/medicine/laureates/1914/barany-bio.html http://nobelprize.org/medicine/laureates/1914/barany-lecture.html
81	1914 1910s physics Max von Laue Max von Laue male http://nobelprize.org/physics/laureates/1914/laue.jpg Germany Frankfurt-on-the-Main University Frankfurt-on-the-Main Germany 1879 1960 http://nobelprize.org/physics/laureates/1914/laue-bio.html http://nobelprize.org/physics/laureates/1914/laue-lecture.html
82	1915 1910s chemistry Richard Willstätter Richard Martin Willstätter male http://nobelprize.org/chemistry/laureates/1915/willstatter.jpg Germany Munich University Munich Germany 1872 1942 http://nobelprize.org/chemistry/laureates/1915/willstatter-bio.html http://nobelprize.org/chemistry/laureates/1915/willstatter-lecture.html
83	1915 1910s literature Romain Rolland Romain Rolland male http://nobelprize.org/literature/laureates/1915/rolland.jpg France 1866 1944
84	1915 1910s physics William Bragg Sir William Henry Bragg male http://nobelprize.org/physics/laureates/1915/wh-bragg.jpg United Kingdom London University London United Kingdom 1862 1942 http://nobelprize.org/physics/laureates/1915/wh-bragg-bio.html
85	1915 1910s physics Lawrence Bragg William Lawrence Bragg male http://nobelprize.org/physics/laureates/1915/wl-bragg.jpg United Kingdom Victoria University Manchester United Kingdom 1890 1971 http://nobelprize.org/physics/laureates/1915/wl-bragg-bio.html http://nobelprize.org/physics/laureates/1915/wl-bragg-lecture.html
86	1916 1910s literature Verner von Heidenstam Carl Gustaf Verner von Heidenstam male http://nobelprize.org/literature/laureates/1916/heidenstam.jpg Sweden 1859 1940
87	1917 1910s literature Karl Gjellerup Karl Adolph Gjellerup male http://nobelprize.org/literature/laureates/1917/gjellerup.jpg Denmark 1857 1919 http://nobelprize.org/literature/laureates/1917/gjellerup-autobio.html
88	1917 1910s literature Henrik Pontoppidan Henrik Pontoppidan male http://nobelprize.org/literature/laureates/1917/pontoppidan.jpg Denmark 1857 1943 http://nobelprize.org/literature/laureates/1917/pontoppidan-autobio.html
